county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
Bath County,Virginia,4712,4660,4639,4597,4549,4470
Bedford County,Virginia,74997,75545,75764,76186,77095,77724
Bland County,Virginia,6810,6765,6698,6682,6606,6561
Botetourt County,Virginia,33182,33066,33196,33053,33115,33347
Brunswick County,Virginia,17413,17151,17045,16970,16787,16698
Buchanan County,Virginia,24040,23929,23902,23647,23177,22776
Buckingham County,Virginia,17111,17181,17051,17149,16927,17032
Campbell County,Virginia,54934,54922,54888,55062,55101,55086
Caroline County,Virginia,28643,28705,28980,29281,29795,29984
Carroll County,Virginia,30086,30096,29938,29880,29641,29724
Charles City County,Virginia,7271,7248,7168,7110,7024,7040
Charlotte County,Virginia,12547,12494,12399,12284,12186,12201
Chesterfield County,Virginia,317312,320545,324101,327955,332593,335687
Clarke County,Virginia,14038,14204,14277,14285,14365,14363
Craig County,Virginia,5176,5226,5198,5185,5240,5211
Culpeper County,Virginia,46848,47330,47776,48467,49117,49432
Cumberland County,Virginia,10044,10025,9863,9848,9839,9719
Dickenson County,Virginia,15870,15763,15670,15459,15306,15115
Dinwiddie County,Virginia,28019,28178,28272,28182,28068,27852
Essex County,Virginia,11147,11196,11161,11184,11084,11130
Fairfax County,Virginia,1086835,1105914,1121445,1134972,1139045,1142234
Fauquier County,Virginia,65481,66159,66682,67309,68382,68782
Floyd County,Virginia,15355,15416,15442,15527,15581,15651
Fluvanna County,Virginia,25760,25977,25919,25883,26056,26235
Franklin County,Virginia,56202,56410,56343,56324,56233,56264
Frederick County,Virginia,78584,79521,80217,81294,82467,83199
Giles County,Virginia,17317,17119,16979,16942,16786,16708
Gloucester County,Virginia,36939,36908,36933,36841,37181,37143
Goochland County,Virginia,21739,21448,21348,21641,21917,22253
Grayson County,Virginia,15496,15406,15225,15221,15999,16012
Greene County,Virginia,18480,18728,18847,18892,19061,19162
Greensville County,Virginia,12213,11997,11739,11638,11539,11885
Halifax County,Virginia,36154,36010,35786,35388,35223,35125
Hanover County,Virginia,99937,99984,100432,101185,101872,103227
Henrico County,Virginia,307639,310858,315902,319585,322818,325155
Henry County,Virginia,54116,53330,52907,52631,52153,51881
Highland County,Virginia,2294,2281,2252,2223,2251,2214
Isle of Wight County,Virginia,35310,35310,35419,35651,36004,36314
James City County,Virginia,67740,68200,69295,70580,72142,73147
King and Queen County,Virginia,6970,7033,7071,7106,7162,7158
King George County,Virginia,23680,24281,24606,24934,25331,25515
King William County,Virginia,15986,15988,15976,16093,16159,16269
Lancaster County,Virginia,11371,11346,11228,11103,11003,10965
Lee County,Virginia,25532,25657,25533,25187,24913,24742
Loudoun County,Virginia,315600,327076,338365,351081,363494,375629
Louisa County,Virginia,33360,33514,33517,33984,34312,34602
Lunenburg County,Virginia,12905,12895,12619,12513,12462,12299
Madison County,Virginia,13287,13168,13172,13140,13121,13134
Mathews County,Virginia,8960,8947,8902,8894,8794,8862
Mecklenburg County,Virginia,32701,32567,31733,31282,31112,31081
Middlesex County,Virginia,10971,10822,10807,10727,10621,10606
Montgomery County,Virginia,94597,94842,95691,96782,97369,97653
Nelson County,Virginia,14992,15050,14823,14788,14843,14785
New Kent County,Virginia,18559,18768,19151,19490,19999,20392
Northampton County,Virginia,12388,12423,12213,12042,12085,12155
Northumberland County,Virginia,12347,12426,12368,12243,12252,12232
Nottoway County,Virginia,15833,15888,15771,15661,15560,15673
Orange County,Virginia,33481,33857,34172,34586,34978,35385
Page County,Virginia,24053,23999,23889,23758,23845,23726
Patrick County,Virginia,18470,18363,18394,18292,18224,18045
Pittsylvania County,Virginia,63611,63458,63053,62720,62546,62194
Powhatan County,Virginia,28100,28106,28157,28280,28462,28031
Prince Edward County,Virginia,23357,23194,23177,22762,23026,22952
Prince George County,Virginia,35649,36771,37186,37519,37563,37862
Prince William County,Virginia,406371,419800,430653,439175,445006,451721
Pulaski County,Virginia,34806,34743,34744,34510,34312,34332
Rappahannock County,Virginia,7501,7500,7451,7467,7360,7378
Richmond County,Virginia,9270,9190,9045,8931,8871,8908
Roanoke County,Virginia,92405,92968,93047,93761,93979,94409
Rockbridge County,Virginia,22295,22539,22460,22443,22426,22354
Rockingham County,Virginia,76367,77116,77379,77698,78137,78593
Russell County,Virginia,28856,28652,28415,28253,28012,27891
Scott County,Virginia,23133,22960,22790,22612,22360,22126
Shenandoah County,Virginia,42059,42270,42610,42635,42913,43190
Smyth County,Virginia,32187,32027,31873,31728,31572,31470
Southampton County,Virginia,18630,18713,18584,18375,18267,18109
Spotsylvania County,Virginia,123176,124853,126179,127748,129202,130475
Stafford County,Virginia,129844,132261,134420,136994,140047,142003
Surry County,Virginia,7060,6946,6854,6801,6804,6709
Sussex County,Virginia,12014,12097,11936,11797,11763,11715
Tazewell County,Virginia,45147,44677,44247,44091,43436,42899
Warren County,Virginia,37514,37665,37993,38637,39028,39083
Washington County,Virginia,54893,54744,55055,54744,54663,54591
Westmoreland County,Virginia,17451,17626,17512,17557,17462,17629
Wise County,Virginia,41616,41427,40889,40664,39952,39718
Wythe County,Virginia,29226,29185,29297,29290,29060,29119
York County,Virginia,65209,65884,65890,66126,66616,67837
Alexandria city,Virginia,140833,144579,147227,149819,151440,153511
Bristol city,Virginia,17853,17815,17812,17515,17339,17141
Buena Vista city,Virginia,6646,6722,6760,6647,6583,6618
Charlottesville city,Virginia,43515,43721,44483,44995,45622,46597
Chesapeake city,Virginia,223520,225352,228231,230515,233479,235429
Colonial Heights city,Virginia,17363,17291,17384,17504,17575,17820
Covington city,Virginia,5953,5826,5758,5742,5696,5658
Danville city,Virginia,42914,42526,42693,42669,42280,42082
Emporia city,Virginia,5934,5812,5795,5664,5592,5496
Fairfax city,Virginia,22595,22696,23109,23496,23694,24013
Falls Church city,Virginia,12440,12711,13095,13359,13481,13892
Franklin city,Virginia,8593,8406,8436,8531,8423,8490
Fredericksburg city,Virginia,24202,25641,27097,27816,28305,28118
Galax city,Virginia,7009,6803,6838,6914,6912,6914
Hampton city,Virginia,137448,136601,137163,137376,137813,136454
Harrisonburg city,Virginia,49048,49757,51100,51288,52258,52538
Hopewell city,Virginia,22634,22471,22276,22131,22137,22378
Lexington city,Virginia,7060,6897,6953,7096,7149,7262
Lynchburg city,Virginia,75703,76607,77477,78266,78627,79812
Manassas city,Virginia,38267,39155,40336,41097,41363,41764
Manassas Park city,Virginia,14439,15176,15475,15941,15805,15726
Martinsville city,Virginia,13729,13710,13630,13583,13552,13645
Newport News city,Virginia,180891,180136,180098,181496,182499,182385
Norfolk city,Virginia,242893,243578,245920,245169,246199,246393
Norton city,Virginia,3969,4015,4046,4014,4023,3939
Petersburg city,Virginia,32507,31931,31843,32117,32245,32477
Poquoson city,Virginia,12147,12048,12126,12116,12034,12059
Portsmouth city,Virginia,95484,95809,96548,96162,95955,96201
Radford city,Virginia,16450,16770,16646,17075,17390,17403
Richmond city,Virginia,204151,206622,210921,213931,216910,220289
Roanoke city,Virginia,96778,96874,98087,99047,99774,99897
Salem city,Virginia,24916,24847,25009,25187,25350,25432
Staunton city,Virginia,23833,24040,23867,24214,24427,24416
Suffolk city,Virginia,84876,84793,85238,85786,86944,88161
Virginia Beach city,Virginia,439038,442976,445728,449120,450879,452745
Waynesboro city,Virginia,21038,21020,20989,21064,21186,21491
Williamsburg city,Virginia,13694,14320,14710,14851,14837,15052
Winchester city,Virginia,26162,26704,27088,27380,27383,27284
Adams County,Washington,18810,18883,18962,19114,19194,19254
Asotin County,Washington,21710,21920,21878,22110,22188,22105
Benton County,Washington,176516,180580,182532,184584,186647,190309
Chelan County,Washington,72743,73327,73705,74061,74598,75644
Clallam County,Washington,71533,71778,71829,72222,72668,73486
Clark County,Washington,426804,432524,437226,442843,450441,459495
Columbia County,Washington,4106,4016,3994,4018,3974,3944
Cowlitz County,Washington,102417,102375,101840,101792,102214,103468
Douglas County,Washington,38551,38813,39344,39480,39822,40534
Ferry County,Washington,7549,7682,7703,7640,7651,7582
Franklin County,Washington,79132,83178,85833,86574,87822,88807
Garfield County,Washington,2265,2247,2223,2247,2212,2219
Grant County,Washington,89627,90756,91589,91906,92838,93259
Grays Harbor County,Washington,72857,72345,71742,71049,70836,71122
Island County,Washington,78712,78992,79252,78575,79235,80593
Jefferson County,Washington,29902,29870,29822,30050,30206,30466
King County,Washington,1937699,1972548,2009200,2047618,2082288,2117125
Kitsap County,Washington,251723,254458,254764,253325,254525,260131
Kittitas County,Washington,41014,41578,41622,41892,42661,43269
Klickitat County,Washington,20390,20695,20643,20855,20883,21026
Lewis County,Washington,75516,75701,75591,75178,75224,75882
Lincoln County,Washington,10570,10518,10442,10281,10253,10321
Mason County,Washington,60752,60917,60772,60550,60694,61023
Okanogan County,Washington,41246,41358,41270,41168,41347,41516
Pacific County,Washington,20884,20853,20549,20424,20551,20848
Pend Oreille County,Washington,12963,12937,12985,12891,12941,13088
Pierce County,Washington,795422,803320,811987,819336,831161,843954
San Juan County,Washington,15770,15818,15806,15877,16026,16252
Skagit County,Washington,117004,117768,118032,118745,120325,121846
Skamania County,Washington,11100,11126,11155,11255,11338,11339
Snohomish County,Washington,715515,722494,732844,746008,759417,772501
Spokane County,Washington,472127,473484,475880,479434,484418,490945
Stevens County,Washington,43487,43487,43567,43341,43556,43791
Thurston County,Washington,253067,256529,258838,262666,266048,269536
Wahkiakum County,Washington,3972,4018,3992,4057,4066,4042
Walla Walla County,Washington,58925,59512,59435,59575,59771,60338
Whatcom County,Washington,201570,203415,204961,206349,208491,212284
Whitman County,Washington,44797,45083,46639,46849,46938,48177
Yakima County,Washington,244313,246326,246844,247342,247698,248830
Barbour County,West Virginia,16596,16599,16861,16781,16708,16704
Berkeley County,West Virginia,104646,105706,107030,108589,110394,111901
Boone County,West Virginia,24585,24446,24371,24077,23734,23372
Braxton County,West Virginia,14527,14543,14487,14436,14447,14415
Brooke County,West Virginia,24007,23931,23804,23712,23529,23350
Cabell County,West Virginia,96369,96558,96902,96987,96827,96844
Calhoun County,West Virginia,7643,7644,7598,7540,7534,7470
Clay County,West Virginia,9371,9390,9262,9204,8939,8910
Doddridge County,West Virginia,8194,8179,8199,8291,8160,8176
Fayette County,West Virginia,45997,45960,45904,45596,45211,44997
Gilmer County,West Virginia,8724,8772,8774,8639,8519,8518
Grant County,West Virginia,11914,11943,11851,11796,11719,11766
Greenbrier County,West Virginia,35540,35711,35861,35781,35460,35516
Hampshire County,West Virginia,23948,23789,23676,23453,23441,23353
Hancock County,West Virginia,30661,30526,30349,30235,30081,29815
Hardy County,West Virginia,14038,13991,13892,13989,13956,13852
Harrison County,West Virginia,69265,69282,69178,68982,68836,68714
Jackson County,West Virginia,29271,29323,29305,29233,29181,29237
Jefferson County,West Virginia,53626,54345,54543,54958,55740,56482
Kanawha County,West Virginia,192939,191947,192102,191373,190151,188332
Lewis County,West Virginia,16397,16391,16437,16450,16442,16448
Lincoln County,West Virginia,21672,21609,21639,21540,21596,21415
Logan County,West Virginia,36727,36456,36340,35985,35310,34707
McDowell County,West Virginia,22075,21699,21316,20874,20286,19835
Marion County,West Virginia,56514,56620,56777,56769,56859,56925
Marshall County,West Virginia,33061,32844,32691,32577,32310,31978
Mason County,West Virginia,27351,27334,27242,27172,27100,27037
Mercer County,West Virginia,62310,62435,62358,61829,61667,61164
Mineral County,West Virginia,28229,28075,27918,27728,27603,27451
Mingo County,West Virginia,26770,26597,26133,25956,25676,25292
Monongalia County,West Virginia,96786,98693,100539,101938,102936,104236
Monroe County,West Virginia,13511,13549,13507,13510,13553,13506
Morgan County,West Virginia,17516,17456,17450,17447,17498,17524
Nicholas County,West Virginia,26240,26153,26234,25935,25733,25594
Ohio County,West Virginia,44475,44189,44051,43694,43185,43066
Pendleton County,West Virginia,7684,7563,7515,7416,7288,7229
Pleasants County,West Virginia,7582,7604,7598,7593,7713,7674
Pocahontas County,West Virginia,8712,8829,8707,8669,8671,8607
Preston County,West Virginia,33551,33617,33894,33697,33899,33940
Putnam County,West Virginia,55650,56092,56558,56621,56863,56848
Raleigh County,West Virginia,78900,79155,79059,78585,78155,77510
Randolph County,West Virginia,29369,29432,29419,29555,29294,29126
Ritchie County,West Virginia,10406,10356,10274,10077,10009,9982
Roane County,West Virginia,14876,14816,14698,14623,14605,14435
Summers County,West Virginia,13941,13862,13769,13543,13309,13239
Taylor County,West Virginia,16887,16932,16996,16994,17053,16912
Tucker County,West Virginia,7115,7050,6945,6954,6947,6966
Tyler County,West Virginia,9184,9101,9029,8981,9079,8975
Upshur County,West Virginia,24245,24256,24484,24638,24665,24758
Wayne County,West Virginia,42442,41944,41695,41626,41258,40971
Webster County,West Virginia,9155,9160,9024,8868,8830,8755
Wetzel County,West Virginia,16552,16406,16406,16181,15974,15816
Wirt County,West Virginia,5745,5798,5816,5874,5837,5880
Wood County,West Virginia,87016,86831,86584,86487,86441,86452
Wyoming County,West Virginia,23718,23459,23232,22947,22540,22151
Adams County,Wisconsin,20864,20904,20522,20487,20194,20148
Ashland County,Wisconsin,16163,16082,15907,16057,16076,15843
Barron County,Wisconsin,45840,45910,45802,45654,45503,45563
Bayfield County,Wisconsin,15011,15106,15094,15110,14964,14977
Brown County,Wisconsin,248507,250563,253039,254677,256588,258718
Buffalo County,Wisconsin,13555,13480,13344,13376,13205,13192
Burnett County,Wisconsin,15433,15510,15363,15317,15320,15159
Calumet County,Wisconsin,49008,49706,49728,49689,49504,49762
Chippewa County,Wisconsin,62616,62915,63028,63162,63408,63531
Clark County,Wisconsin,34682,34736,34463,34552,34393,34445
Columbia County,Wisconsin,56867,56691,56440,56592,56571,56743
Crawford County,Wisconsin,16633,16681,16541,16418,16386,16391
Dane County,Wisconsin,489187,496500,503594,510322,516929,523643
Dodge County,Wisconsin,88661,88725,88560,88376,88570,88502
Door County,Wisconsin,27715,27872,27689,27825,27713,27554
Douglas County,Wisconsin,44172,44012,43819,43832,43733,43601
Dunn County,Wisconsin,43883,43880,43934,44186,44300,44497
Eau Claire County,Wisconsin,99036,99935,100897,101789,101677,102105
Florence County,Wisconsin,4398,4493,4466,4501,4461,4464
Fond du Lac County,Wisconsin,101712,101898,101856,101865,102010,101973
Forest County,Wisconsin,9290,9258,9182,9120,9131,9057
Grant County,Wisconsin,51203,51242,51003,51120,51824,52250
Green County,Wisconsin,36847,36967,36891,37104,37073,37186
Green Lake County,Wisconsin,19033,19098,19075,18963,18836,18856
Iowa County,Wisconsin,23656,23768,23750,23721,23791,23813
Iron County,Wisconsin,5894,6001,5942,5883,5917,5794
Jackson County,Wisconsin,20449,20517,20457,20555,20631,20554
Jefferson County,Wisconsin,83685,83876,84373,84547,84372,84559
Juneau County,Wisconsin,26664,26680,26733,26519,26313,26224
Kenosha County,Wisconsin,166626,166908,167478,167651,168215,168437
Kewaunee County,Wisconsin,20554,20595,20596,20447,20412,20366
La Crosse County,Wisconsin,114881,115276,116745,117153,117852,118212
Lafayette County,Wisconsin,16782,16936,16849,16733,16826,16829
Langlade County,Wisconsin,19942,19886,19729,19546,19369,19223
Lincoln County,Wisconsin,28763,28455,28485,28358,28152,27980
Manitowoc County,Wisconsin,81302,81166,80847,80624,80161,79806
Marathon County,Wisconsin,134069,134500,134630,135266,135619,135868
Marinette County,Wisconsin,41684,41431,41456,41437,41226,40884
Marquette County,Wisconsin,15388,15339,15178,15103,15006,15075
Menominee County,Wisconsin,4265,4380,4377,4387,4532,4573
Milwaukee County,Wisconsin,948301,951697,955063,957286,957913,957735
Monroe County,Wisconsin,44774,45126,45107,45231,45356,45549
Oconto County,Wisconsin,37675,37613,37446,37390,37498,37435
Oneida County,Wisconsin,35940,35823,35740,35644,35492,35567
Outagamie County,Wisconsin,176936,177776,178913,180238,181979,183245
Ozaukee County,Wisconsin,86371,86737,87073,87138,87566,87850
Pepin County,Wisconsin,7458,7431,7405,7381,7353,7290
Pierce County,Wisconsin,41091,40805,40658,40721,40920,40889
Polk County,Wisconsin,44175,43967,43548,43427,43475,43441
Portage County,Wisconsin,69995,70173,70500,70577,70500,70408
Price County,Wisconsin,14108,14020,13876,13778,13679,13645
Racine County,Wisconsin,195443,194965,194639,194807,194986,195080
Richland County,Wisconsin,17987,17984,17797,17776,17677,17495
Rock County,Wisconsin,160234,159999,160288,160634,161267,161448
Rusk County,Wisconsin,14719,14612,14315,14380,14355,14124
St. Croix County,Wisconsin,84437,84963,85274,85941,86900,87513
